address,attribute,name,price,url
丰台-和义-东高地,丰台-和义-东高地/40㎡/南/1室1厅1卫/低楼层（6层）,整租·东高地1室1厅南,3500元/月,https://bj.zu.ke.com/zufang/BJ2338313606770196480.html
湾流国际青年社区·总部公馆社区,仅剩3间/28㎡/3间在租/1室0厅1卫,独栋·湾流国际青年社区总部公馆社区瑞典简约风A户型开间,4800元/月,https://bj.zu.ke.com/apartment/7166.html
朝阳-望京-中环南路3号院,朝阳-望京-中环南路3号院/50㎡/南北/2室1厅1卫/低楼层（6层）,整租·中环南路3号院2室1厅南/北,6300元/月,https://bj.zu.ke.com/zufang/BJ2337599367257014272.html
冠寓·北京酒仙桥店,19㎡/19间在租/1室0厅1卫,独栋·冠寓北京酒仙桥店精致暗间开间,4309元/月,https://bj.zu.ke.com/apartment/9830.html
朝阳-芍药居-隆远阁,朝阳-芍药居-隆远阁/42㎡/东/1室0厅1卫/低楼层（15层）,整租·隆远阁1室0厅东,6300元/月,https://bj.zu.ke.com/zufang/BJ2336809751813562368.html
朝阳-垡头-双合家园,朝阳-垡头-双合家园/90㎡/东南北/3室1厅1卫/中楼层（22层）,整租·双合家园3室1厅东/南/北,6300元/月,https://bj.zu.ke.com/zufang/BJ2337457478079619072.html
乐乎城市青年社区·百子湾花园二期,仅剩3间/18-28㎡/3间在租/1室1厅1卫,独栋·乐乎城市青年社区百子湾花园二期绿青萝3.0B1室1厅,3000-3400元/月,https://bj.zu.ke.com/apartment/976.html
门头沟-石门营-紫金新园三区,门头沟-石门营-紫金新园三区/46㎡/西/1室1厅1卫/低楼层（29层）,整租·紫金新园三区1室1厅西,2600元/月,https://bj.zu.ke.com/zufang/BJ2335906892569911296.html
西城-广安门-荣丰2008,西城-广安门-荣丰2008/24㎡/南/1室0厅1卫/高楼层（26层）,整租·荣丰20081室0厅南,3700元/月,https://bj.zu.ke.com/zufang/BJ2336730100294762496.html
昌平-东关-东关北里小区,昌平-东关-东关北里小区/50㎡/南/1室1厅1卫/中楼层（6层）,整租·东关北里小区1室1厅南,2700元/月,https://bj.zu.ke.com/zufang/BJ2335977882633388032.html
昌平-北七家-北亚花园,昌平-北七家-北亚花园/96㎡/南北/2室1厅1卫/高楼层（7层）,整租·北亚花园2室1厅南/北,3800元/月,https://bj.zu.ke.com/zufang/BJ2338341517598932992.html
朝阳-双桥-北花园小区,朝阳-双桥-北花园小区/52㎡/南/1室1厅1卫/高楼层（22层）,整租·北花园小区1室1厅南,4600元/月,https://bj.zu.ke.com/zufang/BJ2338129676280799232.html
湾流国际青年社区·首都机场社区,35㎡/6间在租/1室0厅1卫,独栋·湾流国际青年社区首都机场社区纽约森林风开间,3400元/月,https://bj.zu.ke.com/apartment/7170.html
窝趣轻社区·窝趣轻社区高碑店店,26-28㎡/8间在租/1室0厅1卫,独栋·窝趣轻社区窝趣轻社区高碑店店直租拎包入住开间开间,2890-3140元/月,https://bj.zu.ke.com/apartment/6272.html
大兴-天宫院南-众美城,大兴-天宫院南-众美城/82㎡/南北/2室1厅1卫/低楼层（10层）,整租·众美城2室1厅南/北,2800元/月,https://bj.zu.ke.com/zufang/BJ2335309219601334272.html
乐乎城市青年社区·展城店,仅剩2间/30㎡/2间在租/1室1厅1卫,独栋·乐乎城市青年社区展城店粉红佳人loftB1室1厅,3000元/月,https://bj.zu.ke.com/apartment/19903.html
湾流国际青年社区·东四社区,仅剩1间/60㎡/1间在租/1室1厅1卫,独栋·湾流国际青年社区东四社区法式B1室1厅,9900元/月,https://bj.zu.ke.com/apartment/7167.html
湾流国际青年社区·朝阳门社区,仅剩1间/35㎡/1间在租/1室1厅1卫,独栋·湾流国际青年社区朝阳门社区法式复古1室1厅,6400元/月,https://bj.zu.ke.com/apartment/7198.html
乐乎城市青年社区·五方桥,30㎡/21间在租/1室1厅1卫,独栋·乐乎城市青年社区五方桥粉妆玉砌2.01室1厅,2900-3100元/月,https://bj.zu.ke.com/apartment/969.html
冠寓·北京大瓦窑店,仅剩1间/29㎡/1间在租/1室0厅1卫,独栋·冠寓北京大瓦窑店阳光大开间开间,5259元/月,https://bj.zu.ke.com/apartment/9828.html
海淀-定慧寺-安装宿舍,海淀-定慧寺-安装宿舍/39㎡/南/1室1厅1卫/高楼层（6层）,整租·安装宿舍1室1厅南,5500元/月,https://bj.zu.ke.com/zufang/BJ2337469282512289792.html
海淀-西直门-明光村小区,海淀-西直门-明光村小区/44㎡/南/1室1厅1卫/低楼层（18层）,整租·明光村小区1室1厅南,5500元/月,https://bj.zu.ke.com/zufang/BJ2337665812237918208.html
